Date,equity
2026-02-13 05:00:00,100000.0
2026-02-17 05:00:00,100000.0
2026-02-18 05:00:00,95890.37851000005
2026-02-19 05:00:00,95890.37851000005
2026-02-20 05:00:00,95890.37851000005
2026-02-23 05:00:00,95890.37851000005
2026-02-24 05:00:00,95890.37851000005
2026-02-25 05:00:00,95890.37851000005
2026-02-26 05:00:00,95890.37851000005
2026-02-27 05:00:00,95890.37851000005
2026-03-02 05:00:00,95890.37851000005
2026-03-03 05:00:00,95890.37851000005
2026-03-04 05:00:00,95890.37851000005
2026-03-05 05:00:00,95890.37851000005
2026-03-06 05:00:00,95890.37851000005
2026-03-09 04:00:00,95890.37851000005
2026-03-10 04:00:00,95890.37851000005
2026-03-11 04:00:00,92023.27163000006
2026-03-12 04:00:00,92023.27163000006
2026-03-13 04:00:00,92023.27163000006
2026-03-16 04:00:00,92023.27163000006
2026-03-17 04:00:00,92023.27163000006
2026-03-18 04:00:00,92023.27163000006
2026-03-19 04:00:00,92023.27163000006
2026-03-20 04:00:00,92023.27163000006
2026-03-23 04:00:00,92023.27163000006
2026-03-24 04:00:00,92023.27163000006
2026-03-25 04:00:00,92023.27163000006
2026-03-26 04:00:00,92023.27163000006
2026-03-27 04:00:00,92023.27163000006
2026-03-30 04:00:00,92023.27163000006
2026-03-31 04:00:00,92023.27163000006
2026-04-01 04:00:00,92023.27163000006
2026-04-02 04:00:00,92023.27163000006
2026-04-06 04:00:00,92023.27163000006
2026-04-07 04:00:00,92023.27163000006
2026-04-08 04:00:00,92023.27163000006
2026-04-09 04:00:00,92023.27163000006
2026-04-10 04:00:00,92023.27163000006
2026-04-13 04:00:00,92023.27163000006
2026-04-14 04:00:00,92023.27163000006
2026-04-15 04:00:00,92023.27163000006
2026-04-16 04:00:00,92023.27163000006
2026-04-17 04:00:00,92023.27163000006
2026-04-20 04:00:00,92023.27163000006
2026-04-21 04:00:00,92023.27163000006
2026-04-22 04:00:00,92023.27163000006
2026-04-23 04:00:00,92023.27163000006
2026-04-24 04:00:00,92023.27163000006
2026-04-27 04:00:00,92023.27163000006
2026-04-28 04:00:00,100557.63217250006
2026-04-29 04:00:00,100557.63217250006
2026-04-30 04:00:00,100557.63217250006
2026-05-01 04:00:00,100557.63217250006
2026-05-04 04:00:00,100557.63217250006
2026-05-05 04:00:00,100557.63217250006
2026-05-06 04:00:00,100557.63217250006
2026-05-07 04:00:00,100557.63217250006
2026-05-08 04:00:00,100557.63217250006
2026-05-11 04:00:00,100557.63217250006
2026-05-12 04:00:00,100557.63217250006
2026-05-13 04:00:00,100557.63217250006
2026-05-14 04:00:00,100557.63217250006
2026-05-15 04:00:00,100557.63217250006
2026-05-18 04:00:00,100557.63217250006
2026-05-19 04:00:00,100557.63217250006
2026-05-20 04:00:00,100557.63217250006
2026-05-21 04:00:00,100557.63217250006
2026-05-22 04:00:00,100557.63217250006
2026-05-26 04:00:00,100557.63217250006
2026-05-27 04:00:00,100557.63217250006
2026-05-28 04:00:00,100557.63217250006
2026-05-29 04:00:00,100557.63217250006
2026-06-01 04:00:00,100557.63217250006
2026-06-02 04:00:00,100557.63217250006
2026-06-03 04:00:00,100557.63217250006
2026-06-04 04:00:00,100557.63217250006
2026-06-05 04:00:00,100557.63217250006
2026-06-08 04:00:00,100557.63217250006
2026-06-09 04:00:00,100557.63217250006
2026-06-10 04:00:00,100557.63217250006
2026-06-11 04:00:00,100557.63217250006
2026-06-12 04:00:00,100557.63217250006
2026-06-15 04:00:00,100557.63217250006
2026-06-16 04:00:00,100557.63217250006
2026-06-17 04:00:00,100557.63217250006
2026-06-18 04:00:00,100557.63217250006
2026-06-22 04:00:00,100557.63217250006
2026-06-23 04:00:00,100557.63217250006
2026-06-24 04:00:00,100557.63217250006
2026-06-25 04:00:00,100557.63217250006
2026-06-26 04:00:00,100557.63217250006
2026-06-29 04:00:00,100557.63217250006
2026-06-30 04:00:00,100557.63217250006
2026-07-01 04:00:00,100557.63217250006
2026-07-02 04:00:00,100557.63217250006
2026-07-06 04:00:00,100557.63217250006
2026-07-07 04:00:00,100557.63217250006
2026-07-08 04:00:00,100557.63217250006
2026-07-09 04:00:00,100557.63217250006
2026-07-10 04:00:00,100557.63217250006
2026-07-13 04:00:00,100557.63217250006
2026-07-14 04:00:00,100557.63217250006
2026-07-15 04:00:00,100557.63217250006
2026-07-16 04:00:00,100557.63217250006
2026-07-17 04:00:00,100557.63217250006
2026-07-20 04:00:00,100557.63217250006
2026-07-21 04:00:00,100557.63217250006
2026-07-22 04:00:00,100557.63217250006
2026-07-23 04:00:00,100557.63217250006
2026-07-24 04:00:00,100557.63217250006
2026-07-27 04:00:00,100557.63217250006
2026-07-28 04:00:00,123307.6728600001
2026-07-29 04:00:00,123307.6728600001
2026-07-30 04:00:00,123307.6728600001
2026-07-31 04:00:00,123307.6728600001
2026-08-03 04:00:00,123307.6728600001
2026-08-04 04:00:00,123307.6728600001
2026-08-05 04:00:00,123307.6728600001
2026-08-06 04:00:00,123307.6728600001
2026-08-07 04:00:00,123307.6728600001
2026-08-10 04:00:00,123307.6728600001
2026-08-11 04:00:00,123307.6728600001
2026-08-12 04:00:00,123307.6728600001
2026-08-13 04:00:00,123307.6728600001
2026-08-14 04:00:00,123307.6728600001
2026-08-17 04:00:00,123307.6728600001
2026-08-18 04:00:00,123307.6728600001
2026-08-19 04:00:00,118350.5826800001
2026-08-20 04:00:00,118350.5826800001
2026-08-21 04:00:00,118350.5826800001
